sn,staff_id,working_hours,job_level,salary
83,ST-66982058-DLG18,Full-time,Entry,3833.73
84,ST-19132776-DJR10,Full-time,Senior,18788.58
85,ST-47336167-KJS3,Full-time,Senior,14303.83
86,ST-60613101-JNS17,Part-time,Senior,8771.11
87,ST-59334763-AEH11,Part-time,Senior,7783.85
88,ST-70370124-VSJ18,Part-time,Mid,1309.36
89,ST-56263536-VNK7,Part-time,Entry,2042.57
90,ST-17463072-CJA4,Full-time,Senior,19043.44
91,ST-98583715-BSM4,Part-time,Entry,1943.26
92,ST-10834151-DCM21,Part-time,Senior,6766.89
93,ST-81606373-AMR5,Full-time,Entry,2992.32
94,ST-92018442-WSM21,Part-time,Senior,7346.97
95,ST-79273283-MNM22,Part-time,Entry,1610.58
96,ST-41416054-LSN14,Part-time,Senior,9473.28
97,ST-83505234-AKW7,Full-time,Entry,4380.10
98,ST-16806619-JSD12,Full-time,Mid,3988.18
99,ST-87290577-MCS3,Part-time,Entry,738.18
100,ST-76260466-ACW10,Full-time,Senior,18468.71
101,ST-93065896-OMP4,Full-time,Entry,4001.76
102,ST-99452409-WRD9,Part-time,Senior,8808.10
103,ST-48026799-MAW19,Full-time,Senior,12072.39
104,ST-17382278-ACD12,Part-time,Mid,1312.57
105,ST-73198654-JVH7,Full-time,Entry,2565.70
106,ST-96570944-JTL17,Full-time,Mid,4083.61
107,ST-99312055-DJY13,Full-time,Senior,15306.28
108,ST-62502317-GJK22,Full-time,Mid,3309.50
109,ST-23186853-JEW17,Part-time,Senior,7564.80
110,ST-64700802-RMR2,Part-time,Entry,2104.36
111,ST-20946512-MJH7,Part-time,Senior,9653.24
112,ST-34450809-JJV8,Full-time,Senior,17350.07
113,ST-40606966-ASC7,Part-time,Mid,2373.94
114,ST-68603978-MDP18,Part-time,Entry,2357.49
115,ST-10653275-ASR11,Part-time,Senior,8671.92
116,ST-74610857-CEJ13,Full-time,Senior,13005.02
117,ST-21733770-NMW12,Full-time,Entry,4761.44
118,ST-70961787-CSH19,Part-time,Mid,2204.65
119,ST-48343109-BMC18,Full-time,Senior,14756.24
120,ST-80969610-VEB8,Full-time,Senior,10215.53
121,ST-61037806-MML16,Full-time,Entry,2595.08
122,ST-17356256-CSS18,Part-time,Senior,6064.06
123,ST-32630259-BCC14,Full-time,Entry,3963.62
124,ST-58414647-LEH7,Part-time,Mid,1236.69
125,ST-52214992-PAW15,Part-time,Senior,9092.69
126,ST-25651488-SER1,Full-time,Executive,28416.13
127,ST-52418124-MLR9,Part-time,Senior,8732.67
128,ST-94294124-MDS20,Full-time,Mid,2664.78
129,ST-62864641-MMO19,Full-time,Entry,2783.06
130,ST-29353101-GPS8,Part-time,Entry,957.32
131,ST-56622882-JSW7,Part-time,Senior,8241.82
132,ST-39946627-SJB3,Part-time,Mid,2014.46
133,ST-47919722-SEA12,Full-time,Senior,13297.07
134,ST-47684917-WMJ17,Part-time,Mid,1867.44
135,ST-35733507-SBD7,Part-time,Entry,2255.20
136,ST-76913194-JJO19,Part-time,Senior,8618.63
137,ST-45050416-KDH9,Part-time,Entry,1322.17
138,ST-13623577-CVH2,Part-time,Senior,6548.12
139,ST-85611328-MPO8,Part-time,Senior,7858.66
140,ST-12899885-EJA9,Full-time,Entry,3225.36
141,ST-38583953-DDD9,Part-time,Entry,768.13
142,ST-76230050-RSC23,Full-time,Entry,3348.88
143,ST-35737725-KNW21,Part-time,Mid,2369.87
144,ST-80801954-JMN13,Part-time,Senior,8976.68
145,ST-19666936-MHW4,Full-time,Mid,2660.06
146,ST-82105844-DRA9,Full-time,Senior,19597.51
147,ST-71851673-JCF23,Part-time,Senior,6752.84
148,ST-36595885-VJH6,Full-time,Mid,4708.25
149,ST-96911878-BPW13,Part-time,Entry,1242.61
150,ST-98662124-CJM8,Full-time,Mid,2873.52
151,ST-88400828-JMM3,Full-time,Entry,3889.98
152,ST-23013050-MJH22,Part-time,Mid,1445.03
153,ST-64232091-JKM12,Part-time,Entry,2438.06
154,ST-92942930-CLS18,Part-time,Entry,1239.40
155,ST-60626495-JBW14,Full-time,Mid,2745.64
156,ST-20660631-JTM17,Full-time,Entry,2701.35
157,ST-68580150-JBW13,Full-time,Mid,4774.76
158,ST-52829834-RKM4,Full-time,Mid,3744.72
159,ST-75620241-BCG1,Full-time,Executive,27460.41
160,ST-62833689-WJW5,Full-time,Mid,3800.32
161,ST-53193984-MMM9,Full-time,Senior,14896.59
162,ST-36550400-GJN11,Full-time,Mid,4416.77
163,ST-65143245-JCS23,Full-time,Mid,2875.57
164,ST-41446111-CCG7,Full-time,Senior,13864.63
165,ST-12056800-PJR16,Full-time,Entry,2714.84
166,ST-16132909-WPC20,Part-time,Mid,1666.34
167,ST-88719582-TAW13,Full-time,Senior,12820.56
168,ST-91816403-KRD7,Part-time,Mid,1917.80
169,ST-73653055-KLS7,Full-time,Mid,2572.81
170,ST-91908239-KEG5,Part-time,Senior,7813.48
171,ST-56299816-AJP18,Full-time,Entry,4187.52
172,ST-62628573-CCM2,Full-time,Mid,2610.28
173,ST-90190999-PAS8,Full-time,Mid,4143.35
174,ST-39530914-TWT14,Full-time,Entry,3511.75
175,ST-73958357-DOW18,Full-time,Entry,2629.09
176,ST-55440440-DKR3,Part-time,Mid,2410.97
177,ST-47534992-ELW20,Part-time,Mid,1357.17
178,ST-97397566-PSR15,Full-time,Entry,2630.35
179,ST-10963132-SJR4,Full-time,Senior,17783.55
180,ST-34034722-CJH17,Full-time,Senior,12705.61
181,ST-77243395-CMA9,Part-time,Mid,1635.94
182,ST-60534241-KSD1,Full-time,Executive,34906.44
183,ST-63886433-MDH14,Part-time,Mid,874.05
184,ST-73362236-MCB6,Part-time,Entry,2225.01
185,ST-93557657-AAM3,Full-time,Entry,4328.56
186,ST-35237956-SRR13,Part-time,Mid,1214.94
187,ST-71296714-JSC3,Full-time,Entry,3963.74
188,ST-81830934-DBG5,Full-time,Senior,16483.99
189,ST-51463581-RAS13,Part-time,Senior,6937.66
190,ST-91484331-LSS13,Part-time,Mid,1810.85
191,ST-76345550-SLG22,Full-time,Senior,19440.14
192,ST-56818803-MSG6,Part-time,Mid,1860.59
193,ST-98589067-RCN19,Full-time,Entry,3822.83
194,ST-37315105-MMC7,Full-time,Entry,2533.59
195,ST-73303713-AJC7,Full-time,Entry,4904.43
196,ST-16789413-AJA15,Part-time,Entry,2305.20
197,ST-50379622-ADH14,Part-time,Mid,1350.38
198,ST-96059355-BAP8,Full-time,Mid,2607.52
199,ST-45169084-TAB4,Part-time,Senior,8179.26
200,ST-46316503-PMM4,Part-time,Mid,1046.42
201,ST-59863456-JRW4,Part-time,Entry,1955.71
202,ST-58538636-MRS22,Part-time,Mid,1412.04
203,ST-38337359-TSR6,Part-time,Entry,1340.77
204,ST-51310338-DJT6,Part-time,Mid,2070.07
205,ST-10492254-DBR12,Full-time,Senior,10181.12
206,ST-21307744-AML8,Part-time,Mid,1858.96
207,ST-23192725-MKF6,Full-time,Mid,3158.38
208,ST-40109100-CBG16,Full-time,Mid,3854.06
209,ST-72951205-JMC6,Full-time,Senior,10331.47
210,ST-26889107-DTA16,Full-time,Senior,15252.93
211,ST-48869863-EPR6,Part-time,Senior,6841.74
212,ST-18137951-DMG6,Part-time,Senior,7316.35
213,ST-14709102-BBH1,Full-time,Executive,27948.25
214,ST-30043975-JDP11,Part-time,Senior,8810.11
215,ST-16901068-RSA14,Part-time,Mid,1015.65
216,ST-13948327-TAW21,Part-time,Senior,7714.03
217,ST-40686186-SMC11,Full-time,Entry,4082.77
218,ST-40151507-TPE16,Full-time,Senior,19349.91
219,ST-54441750-AEP18,Part-time,Entry,2264.61
220,ST-40033047-RKW14,Part-time,Entry,1275.94
221,ST-38907352-RHM11,Full-time,Senior,17652.27
222,ST-84307215-MJE15,Full-time,Mid,2644.19
223,ST-36677875-KKH1,Full-time,Executive,23124.90
224,ST-49842197-ACW16,Full-time,Senior,12193.12
225,ST-79643844-PBM1,Full-time,Executive,24844.18
226,ST-91418228-DDE21,Part-time,Senior,9756.96
227,ST-53548848-RCB17,Full-time,Senior,10734.90
228,ST-14131241-ELD6,Part-time,Entry,2348.22
229,ST-69847010-RJH5,Part-time,Entry,1341.61
230,ST-17436318-SMV14,Part-time,Senior,9561.19
231,ST-96826826-RJC13,Part-time,Mid,2015.53
232,ST-98211280-KLA23,Full-time,Senior,16267.72
233,ST-11462667-SDS19,Full-time,Mid,3663.63
234,ST-54727243-JBC23,Part-time,Senior,6239.52
235,ST-15505729-KBT22,Full-time,Mid,4781.34
236,ST-81532696-TPL18,Full-time,Entry,4717.63
237,ST-68910053-KSC12,Part-time,Entry,1932.32
238,ST-77361854-RZH17,Full-time,Entry,3163.35
239,ST-12662368-MMP10,Part-time,Mid,1137.16
240,ST-24219525-JAA5,Part-time,Entry,859.69
241,ST-32571626-RTC11,Full-time,Entry,2638.28
242,ST-35754513-ARJ9,Part-time,Mid,2114.63
243,ST-87715424-CAV16,Full-time,Senior,10040.23
244,ST-81442175-ATF10,Part-time,Senior,7298.87
245,ST-36786595-TNM4,Full-time,Senior,19331.47
246,ST-99559468-LDW5,Part-time,Entry,1028.36
247,ST-61519550-TRG5,Part-time,Entry,1095.90
248,ST-39215459-LRA21,Full-time,Entry,3883.22
249,ST-86339657-TDW9,Full-time,Entry,3640.67
250,ST-73352901-KBK12,Part-time,Mid,1247.03
251,ST-55223131-MBW24,Full-time,Senior,11266.33
252,ST-51681641-MSM10,Part-time,Senior,7976.19
253,ST-25148772-DDB23,Part-time,Senior,6434.08
254,ST-71856262-AMM12,Part-time,Mid,1964.10
255,ST-56875151-HLT3,Part-time,Entry,1517.82
256,ST-58817994-KAD23,Full-time,Entry,4594.25
257,ST-16890536-AJC17,Full-time,Mid,2866.68
258,ST-13242981-VDM11,Full-time,Mid,4781.41
259,ST-57975369-BMB8,Part-time,Mid,2316.79
260,ST-17043782-MNJ19,Part-time,Mid,2481.79
261,ST-67048332-SRS18,Full-time,Mid,3160.57
262,ST-17848338-DKH24,Full-time,Entry,4165.87
263,ST-92106826-LAJ2,Full-time,Mid,4705.41
264,ST-25774688-JCS9,Full-time,Mid,4490.76
265,ST-75801147-JPS11,Full-time,Mid,4737.67
266,ST-27984446-JSN8,Full-time,Senior,11812.07
267,ST-15379612-EJH10,Part-time,Entry,1334.89
268,ST-51315703-WCG11,Full-time,Entry,3446.11
269,ST-32930458-AGJ18,Part-time,Entry,2343.56
270,ST-51218047-MMB1,Full-time,Executive,30574.68
271,ST-99685033-AJN21,Part-time,Senior,7295.10
272,ST-34553092-AJB1,Full-time,Executive,29391.23
273,ST-50950671-CVM8,Full-time,Entry,3826.68
274,ST-91311225-MCM2,Full-time,Mid,2814.40
275,ST-99230011-CMB17,Part-time,Senior,8057.45
276,ST-59136073-WMS21,Full-time,Senior,18906.28
277,ST-18413667-KTM1,Full-time,Executive,28617.12
278,ST-71923460-JRC16,Part-time,Entry,1914.38
279,ST-72116204-ERH16,Part-time,Mid,1872.46
280,ST-65955122-SLP17,Part-time,Mid,1733.82
281,ST-29540428-LJS11,Part-time,Senior,9981.41
282,ST-61316496-SCW17,Full-time,Mid,3421.42
283,ST-74139456-PGP22,Part-time,Senior,6847.14
284,ST-36983798-CSB4,Part-time,Senior,8083.32
285,ST-64738624-MJG3,Part-time,Mid,2148.81
286,ST-24701649-DNO13,Full-time,Entry,2904.82
287,ST-32225280-LCF23,Part-time,Senior,8820.87
288,ST-74077527-JEW16,Part-time,Senior,7060.84
289,ST-44596326-SCG8,Part-time,Senior,7748.06
290,ST-79498545-EAR9,Part-time,Mid,1544.53
291,ST-88305250-JTM18,Part-time,Senior,7999.46
292,ST-11529340-BJS2,Part-time,Entry,1291.44
293,ST-96361917-CJS13,Part-time,Mid,746.81
294,ST-79773884-WMA23,Part-time,Entry,1346.04
295,ST-66258394-BNK5,Full-time,Senior,17737.01
296,ST-16714729-BAY23,Full-time,Entry,4774.14
297,ST-48362196-SEC17,Full-time,Senior,15186.65
298,ST-10609668-RMJ8,Full-time,Entry,3359.00
299,ST-21239027-LLW20,Part-time,Senior,6271.36
300,ST-81696919-TMS16,Full-time,Mid,3740.16
301,ST-64335099-RCW13,Part-time,Mid,2323.99
302,ST-83437102-ARM7,Full-time,Senior,11247.79
303,ST-38344545-TCW23,Full-time,Senior,14582.70
304,ST-18629181-KMD14,Part-time,Mid,713.14
305,ST-68092048-TVJ10,Full-time,Mid,4620.23
306,ST-40546309-SKM9,Full-time,Mid,2584.66
307,ST-26126961-JTA14,Full-time,Senior,12562.55
308,ST-25406661-CSW8,Part-time,Mid,1276.87
309,ST-56782611-PEJ6,Part-time,Entry,759.51
310,ST-73929622-MKF21,Full-time,Entry,3374.05
311,ST-60612164-APV5,Part-time,Senior,6795.91
312,ST-63352431-ENT11,Part-time,Senior,7458.24
313,ST-86488939-ANH18,Part-time,Entry,1192.17
314,ST-25104056-NJM7,Part-time,Entry,2077.29
315,ST-40777133-AMH20,Part-time,Entry,2033.82
316,ST-32858632-AMW16,Part-time,Senior,8951.85
317,ST-29918325-SJM6,Full-time,Senior,16269.29
318,ST-70410894-DMC14,Full-time,Entry,2683.57
319,ST-37776998-JRE21,Full-time,Senior,15834.11
320,ST-72260230-DRB2,Part-time,Mid,2021.95
321,ST-86064316-RRS16,Full-time,Mid,3761.04
322,ST-87686486-PRF17,Full-time,Senior,19894.79
323,ST-19521071-RMB6,Full-time,Senior,11995.82
324,ST-24150733-PKS20,Full-time,Senior,12041.71
325,ST-57123745-KMR23,Full-time,Senior,19915.97
326,ST-45171990-SEJ21,Part-time,Mid,2154.91
327,ST-21418299-LAT4,Full-time,Mid,4167.26
328,ST-47336955-BJP20,Part-time,Senior,8556.21
329,ST-82700086-KJD9,Full-time,Senior,19247.56
330,ST-20763074-HCM8,Full-time,Senior,15833.71
331,ST-12739998-LED6,Full-time,Senior,11846.24
332,ST-11764176-LCB20,Part-time,Senior,7542.17
333,ST-20945637-SDS17,Full-time,Senior,14404.91
334,ST-28759691-GGY24,Full-time,Senior,19718.54
335,ST-37847502-PLH5,Part-time,Entry,1833.98
336,ST-63639491-JJF24,Full-time,Senior,10052.57
337,ST-17730650-CDW23,Part-time,Senior,7099.23
338,ST-68251701-NNG17,Full-time,Entry,4459.52
339,ST-44630132-DDS21,Part-time,Senior,7085.81
340,ST-37614804-MAB5,Part-time,Mid,2036.99
341,ST-38073371-EJM19,Full-time,Entry,4224.14
342,ST-41765625-VHD14,Part-time,Mid,2102.41
343,ST-59372234-WMW20,Full-time,Mid,3965.12
344,ST-19881922-SSM2,Part-time,Senior,6048.85
345,ST-95359543-MBM19,Part-time,Entry,1505.16
346,ST-31432614-BDH12,Part-time,Entry,1221.18
347,ST-11709369-DCM18,Full-time,Senior,17474.46
348,ST-34038864-BLE19,Part-time,Senior,6324.94
349,ST-28367639-HWH24,Part-time,Senior,9172.20
350,ST-40542609-LAE16,Part-time,Entry,2210.96
351,ST-35036779-HKW1,Full-time,Executive,27299.50
352,ST-58913679-KSC10,Part-time,Mid,1608.78
353,ST-97630462-DRA15,Part-time,Senior,8385.69
354,ST-57426652-YSR3,Part-time,Mid,1363.91
355,ST-63819940-BPS5,Full-time,Mid,3504.08
356,ST-97352428-MEH15,Full-time,Entry,2770.61
357,ST-46243340-SSP16,Full-time,Senior,14557.87
358,ST-13471055-CEE21,Part-time,Senior,9381.81
359,ST-25714404-VSJ24,Part-time,Senior,9028.70
360,ST-97121431-JJW12,Part-time,Senior,8944.62
361,ST-28671327-MJW7,Full-time,Entry,3542.40
362,ST-59229354-AEW8,Part-time,Senior,9524.91
363,ST-45968373-ATA12,Full-time,Senior,19364.27
364,ST-36105236-TJF22,Full-time,Senior,18546.54
365,ST-81881011-DSC20,Part-time,Senior,7569.09
366,ST-79418228-CTS8,Part-time,Mid,2323.35
367,ST-68451371-TSB2,Full-time,Entry,3142.64
368,ST-71837810-LSA24,Part-time,Senior,6572.64
369,ST-48837920-AMB8,Full-time,Mid,3480.30
370,ST-97412942-DTE22,Part-time,Entry,1423.41
371,ST-53531588-KJB17,Full-time,Entry,3930.56
372,ST-32213089-JAR1,Full-time,Executive,29046.92
373,ST-72172739-WDB24,Part-time,Entry,920.86
374,ST-33106894-JCM22,Full-time,Senior,18779.70
375,ST-12611348-GEA15,Part-time,Mid,1553.11
376,ST-56402095-KDW4,Full-time,Entry,4266.16
377,ST-95895555-CDH23,Full-time,Senior,16818.50
378,ST-48787992-DRW21,Part-time,Mid,903.00
379,ST-36024404-CDE11,Full-time,Mid,3062.97
380,ST-77044904-TCM24,Part-time,Mid,854.61
381,ST-96827048-LSZ8,Part-time,Senior,6795.73
382,ST-43905664-BBK4,Full-time,Mid,2834.29
383,ST-30610454-AJB12,Full-time,Entry,3935.18
384,ST-29351986-JNB22,Full-time,Senior,17408.93
385,ST-61982160-SKW10,Part-time,Entry,1490.38
386,ST-46069312-GSW23,Part-time,Entry,1266.04
387,ST-93455346-JKM1,Full-time,Executive,22732.23
388,ST-53468446-PCH13,Part-time,Senior,8662.53
389,ST-23568487-BCC8,Full-time,Entry,4617.86
390,ST-11831112-HSR11,Full-time,Senior,19627.24
391,ST-57093244-CJM2,Part-time,Entry,1469.25
392,ST-39914977-CKD18,Full-time,Mid,2980.29
393,ST-40463403-PSM3,Full-time,Entry,4616.67
394,ST-67820718-DWG6,Part-time,Entry,1660.56
395,ST-11069810-BTF23,Full-time,Mid,2633.06
396,ST-49164774-JPT14,Part-time,Mid,1868.20
397,ST-13424673-RWT2,Part-time,Senior,9085.98
398,ST-39505638-AMJ17,Part-time,Entry,1657.36
399,ST-94103511-MRR1,Full-time,Executive,20638.05
400,ST-55360542-MMD13,Part-time,Mid,966.39
401,ST-31553811-SMC12,Part-time,Mid,1387.51
402,ST-42687160-JJP12,Part-time,Mid,2046.51
403,ST-28022521-AMC23,Full-time,Senior,14879.98
404,ST-94719118-EAW15,Part-time,Entry,2462.37
405,ST-67354253-BJE24,Part-time,Mid,1732.82
406,ST-15370102-HDJ24,Full-time,Mid,4637.35
407,ST-70035873-TJP6,Full-time,Senior,11271.09
408,ST-62109358-JTM11,Full-time,Entry,3634.58
409,ST-79471477-JKA6,Full-time,Senior,10774.60
410,ST-34185153-DRV22,Full-time,Entry,2642.77
411,ST-98820302-RMS6,Full-time,Entry,2667.72
412,ST-40620788-MMR8,Part-time,Entry,702.46
413,ST-10396991-CVH16,Full-time,Senior,10140.18
414,ST-95135724-KFA1,Full-time,Executive,26447.66
415,ST-16944249-JJW1,Full-time,Executive,30021.63
416,ST-89002088-JTB13,Full-time,Mid,4367.71
417,ST-40943760-KVB21,Part-time,Senior,7619.70
418,ST-82444576-AAS12,Full-time,Mid,4776.80
419,ST-30776153-JGR4,Full-time,Mid,2763.85
420,ST-34074915-MEB18,Part-time,Senior,9928.46
421,ST-40391018-DJA4,Part-time,Senior,6661.31
422,ST-82641225-TRL11,Part-time,Mid,1597.81
423,ST-78316679-CLR7,Full-time,Senior,12718.06
424,ST-14733799-TRB8,Part-time,Entry,731.66
425,ST-15210954-MJB13,Part-time,Senior,6861.60
426,ST-46163836-KDJ3,Full-time,Entry,3835.19
427,ST-27553382-SHG8,Part-time,Mid,2478.69
428,ST-24898567-JMW17,Part-time,Senior,9136.95
429,ST-95293572-GAH17,Part-time,Entry,1459.85
430,ST-11490421-AAD16,Part-time,Entry,1121.28
431,ST-19739660-JDK24,Full-time,Senior,10385.93
432,ST-81879892-SNC4,Full-time,Mid,4569.84
433,ST-17288212-PRN8,Part-time,Senior,9801.68
434,ST-92300053-HPM23,Part-time,Mid,2270.80
435,ST-85713188-ENF19,Part-time,Mid,2077.78
436,ST-20168516-JMJ11,Part-time,Senior,9050.40
437,ST-58124144-BCA9,Part-time,Mid,2064.94
438,ST-21309133-CTW16,Full-time,Senior,14508.82
439,ST-49805492-KDR15,Full-time,Senior,14278.95
440,ST-89373974-WCA11,Part-time,Mid,982.50
441,ST-66963135-RJJ5,Full-time,Mid,3739.21
442,ST-94102164-ALJ21,Part-time,Senior,8841.95
443,ST-63913203-CAO18,Full-time,Mid,2600.23
444,ST-17770612-KAA17,Full-time,Mid,3356.88
445,ST-88255749-VKR3,Full-time,Senior,11711.82
446,ST-22024585-GTW24,Part-time,Mid,1198.41
447,ST-44410435-RMC16,Full-time,Mid,4891.54
448,ST-83894658-WDD22,Part-time,Mid,866.66
449,ST-42609461-AJH24,Part-time,Entry,1850.77
450,ST-67422870-DTP18,Full-time,Senior,17228.37
451,ST-22276871-CKB21,Full-time,Senior,11866.76
452,ST-39692439-RDR4,Full-time,Mid,2562.25
453,ST-92251177-ARH6,Full-time,Mid,4108.29
454,ST-56060486-MMR1,Full-time,Executive,20357.56
455,ST-39689709-MDA16,Full-time,Senior,14850.43
456,ST-38813329-TJO5,Part-time,Mid,1563.64
457,ST-69909216-BAJ4,Part-time,Mid,1336.83
458,ST-58664399-TMF17,Full-time,Mid,3200.49
459,ST-81719460-MAH12,Full-time,Entry,3726.06
460,ST-86610945-LSB17,Part-time,Senior,8337.88
461,ST-77993766-MWW17,Full-time,Senior,16522.67
462,ST-19371071-JCB10,Full-time,Entry,4267.65
463,ST-58424991-KTM23,Full-time,Senior,13530.92
464,ST-73494370-ICS8,Full-time,Entry,4402.52
465,ST-96316973-VNR9,Full-time,Senior,15663.26
466,ST-68076248-LJB14,Full-time,Mid,2641.52
467,ST-25564730-RKR15,Part-time,Senior,8005.46
468,ST-47119877-SMJ16,Full-time,Entry,4599.77
469,ST-39342600-AAM13,Part-time,Senior,9525.65
470,ST-91471697-MMR15,Part-time,Entry,1190.69
471,ST-32042067-CMM11,Full-time,Mid,3525.06
472,ST-21608783-SAA17,Part-time,Entry,1938.30
473,ST-21968056-SEB4,Full-time,Senior,10396.52
474,ST-68995445-SMA4,Full-time,Senior,19159.78
475,ST-22297331-GJR22,Part-time,Entry,773.55
476,ST-52858882-BTG23,Part-time,Mid,1216.19
477,ST-34170385-MPC8,Part-time,Entry,2286.67
478,ST-66247595-PDS21,Full-time,Senior,12969.21
479,ST-32903929-CSD7,Part-time,Senior,9889.04
480,ST-12395664-EMJ4,Part-time,Mid,1904.84
481,ST-26987181-RBH4,Part-time,Mid,795.65
482,ST-95171630-DJM14,Part-time,Entry,1597.76
483,ST-47585039-JDT24,Full-time,Mid,4068.47
484,ST-87169291-DAJ14,Full-time,Entry,3407.50
485,ST-61711012-AMJ5,Full-time,Mid,3447.65
486,ST-19454645-SSM11,Full-time,Senior,13249.18
487,ST-13225783-RCG3,Full-time,Entry,4843.42
488,ST-63614779-EBF21,Full-time,Mid,2714.07
489,ST-34559524-LRE3,Full-time,Entry,2862.07
490,ST-11907687-BMN11,Part-time,Entry,909.09
491,ST-75776270-CSR15,Full-time,Entry,2790.96
492,ST-66566260-JTB6,Full-time,Entry,4228.32
493,ST-23716515-ESK8,Full-time,Senior,18823.10
494,ST-71746273-KJT4,Part-time,Mid,1634.70
495,ST-11137033-DTH20,Part-time,Senior,6632.20
496,ST-43620023-JNN19,Full-time,Senior,10631.32
497,ST-58902095-RSW2,Full-time,Mid,2774.63
498,ST-10030581-EMM19,Part-time,Entry,1005.98
