sn,staff_id,department_id
75,ST-24116421-KTW17,17
76,ST-34178513-JDM4,4
77,ST-33137852-RJM9,9
78,ST-38208444-MSM10,10
79,ST-21953680-FLB6,6
80,ST-74590049-SNL10,10
81,ST-39888641-NCF16,16
82,ST-18860119-ECK18,18
83,ST-66982058-DLG18,18
84,ST-19132776-DJR10,10
85,ST-47336167-KJS3,3
86,ST-60613101-JNS17,17
87,ST-59334763-AEH11,11
88,ST-70370124-VSJ18,18
89,ST-56263536-VNK7,7
90,ST-17463072-CJA4,4
91,ST-98583715-BSM4,4
92,ST-10834151-DCM21,21
93,ST-81606373-AMR5,5
94,ST-92018442-WSM21,21
95,ST-79273283-MNM22,22
96,ST-41416054-LSN14,14
97,ST-83505234-AKW7,7
98,ST-16806619-JSD12,12
99,ST-87290577-MCS3,3
100,ST-76260466-ACW10,10
101,ST-93065896-OMP4,4
102,ST-99452409-WRD9,9
103,ST-48026799-MAW19,19
104,ST-17382278-ACD12,12
105,ST-73198654-JVH7,7
106,ST-96570944-JTL17,17
107,ST-99312055-DJY13,13
108,ST-62502317-GJK22,22
109,ST-23186853-JEW17,17
110,ST-64700802-RMR2,2
111,ST-20946512-MJH7,7
112,ST-34450809-JJV8,8
113,ST-40606966-ASC7,7
114,ST-68603978-MDP18,18
115,ST-10653275-ASR11,11
116,ST-74610857-CEJ13,13
117,ST-21733770-NMW12,12
118,ST-70961787-CSH19,19
119,ST-48343109-BMC18,18
120,ST-80969610-VEB8,8
121,ST-61037806-MML16,16
122,ST-17356256-CSS18,18
123,ST-32630259-BCC14,14
124,ST-58414647-LEH7,7
125,ST-52214992-PAW15,15
126,ST-25651488-SER1,1
127,ST-52418124-MLR9,9
128,ST-94294124-MDS20,20
129,ST-62864641-MMO19,19
130,ST-29353101-GPS8,8
131,ST-56622882-JSW7,7
132,ST-39946627-SJB3,3
133,ST-47919722-SEA12,12
134,ST-47684917-WMJ17,17
135,ST-35733507-SBD7,7
136,ST-76913194-JJO19,19
137,ST-45050416-KDH9,9
138,ST-13623577-CVH2,2
139,ST-85611328-MPO8,8
140,ST-12899885-EJA9,9
141,ST-38583953-DDD9,9
142,ST-76230050-RSC23,23
143,ST-35737725-KNW21,21
144,ST-80801954-JMN13,13
145,ST-19666936-MHW4,4
146,ST-82105844-DRA9,9
147,ST-71851673-JCF23,23
148,ST-36595885-VJH6,6
149,ST-96911878-BPW13,13
150,ST-98662124-CJM8,8
151,ST-88400828-JMM3,3
152,ST-23013050-MJH22,22
153,ST-64232091-JKM12,12
154,ST-92942930-CLS18,18
155,ST-60626495-JBW14,14
156,ST-20660631-JTM17,17
157,ST-68580150-JBW13,13
158,ST-52829834-RKM4,4
159,ST-75620241-BCG1,1
160,ST-62833689-WJW5,5
161,ST-53193984-MMM9,9
162,ST-36550400-GJN11,11
163,ST-65143245-JCS23,23
164,ST-41446111-CCG7,7
165,ST-12056800-PJR16,16
166,ST-16132909-WPC20,20
167,ST-88719582-TAW13,13
168,ST-91816403-KRD7,7
169,ST-73653055-KLS7,7
170,ST-91908239-KEG5,5
171,ST-56299816-AJP18,18
172,ST-62628573-CCM2,2
173,ST-90190999-PAS8,8
174,ST-39530914-TWT14,14
175,ST-73958357-DOW18,18
176,ST-55440440-DKR3,3
177,ST-47534992-ELW20,20
178,ST-97397566-PSR15,15
179,ST-10963132-SJR4,4
180,ST-34034722-CJH17,17
181,ST-77243395-CMA9,9
182,ST-60534241-KSD1,1
183,ST-63886433-MDH14,14
184,ST-73362236-MCB6,6
185,ST-93557657-AAM3,3
186,ST-35237956-SRR13,13
187,ST-71296714-JSC3,3
188,ST-81830934-DBG5,5
189,ST-51463581-RAS13,13
190,ST-91484331-LSS13,13
191,ST-76345550-SLG22,22
192,ST-56818803-MSG6,6
193,ST-98589067-RCN19,19
194,ST-37315105-MMC7,7
195,ST-73303713-AJC7,7
196,ST-16789413-AJA15,15
197,ST-50379622-ADH14,14
198,ST-96059355-BAP8,8
199,ST-45169084-TAB4,4
200,ST-46316503-PMM4,4
201,ST-59863456-JRW4,4
202,ST-58538636-MRS22,22
203,ST-38337359-TSR6,6
204,ST-51310338-DJT6,6
205,ST-10492254-DBR12,12
206,ST-21307744-AML8,8
207,ST-23192725-MKF6,6
208,ST-40109100-CBG16,16
209,ST-72951205-JMC6,6
210,ST-26889107-DTA16,16
211,ST-48869863-EPR6,6
212,ST-18137951-DMG6,6
213,ST-14709102-BBH1,1
214,ST-30043975-JDP11,11
215,ST-16901068-RSA14,14
216,ST-13948327-TAW21,21
217,ST-40686186-SMC11,11
218,ST-40151507-TPE16,16
219,ST-54441750-AEP18,18
220,ST-40033047-RKW14,14
221,ST-38907352-RHM11,11
222,ST-84307215-MJE15,15
223,ST-36677875-KKH1,1
224,ST-49842197-ACW16,16
225,ST-79643844-PBM1,1
226,ST-91418228-DDE21,21
227,ST-53548848-RCB17,17
228,ST-14131241-ELD6,6
229,ST-69847010-RJH5,5
230,ST-17436318-SMV14,14
231,ST-96826826-RJC13,13
232,ST-98211280-KLA23,23
233,ST-11462667-SDS19,19
234,ST-54727243-JBC23,23
235,ST-15505729-KBT22,22
236,ST-81532696-TPL18,18
237,ST-68910053-KSC12,12
238,ST-77361854-RZH17,17
239,ST-12662368-MMP10,10
240,ST-24219525-JAA5,5
241,ST-32571626-RTC11,11
242,ST-35754513-ARJ9,9
243,ST-87715424-CAV16,16
244,ST-81442175-ATF10,10
245,ST-36786595-TNM4,4
246,ST-99559468-LDW5,5
247,ST-61519550-TRG5,5
248,ST-39215459-LRA21,21
249,ST-86339657-TDW9,9
250,ST-73352901-KBK12,12
251,ST-55223131-MBW24,24
252,ST-51681641-MSM10,10
253,ST-25148772-DDB23,23
254,ST-71856262-AMM12,12
255,ST-56875151-HLT3,3
256,ST-58817994-KAD23,23
257,ST-16890536-AJC17,17
258,ST-13242981-VDM11,11
259,ST-57975369-BMB8,8
260,ST-17043782-MNJ19,19
261,ST-67048332-SRS18,18
262,ST-17848338-DKH24,24
263,ST-92106826-LAJ2,2
264,ST-25774688-JCS9,9
265,ST-75801147-JPS11,11
266,ST-27984446-JSN8,8
267,ST-15379612-EJH10,10
268,ST-51315703-WCG11,11
269,ST-32930458-AGJ18,18
270,ST-51218047-MMB1,1
271,ST-99685033-AJN21,21
272,ST-34553092-AJB1,1
273,ST-50950671-CVM8,8
274,ST-91311225-MCM2,2
275,ST-99230011-CMB17,17
276,ST-59136073-WMS21,21
277,ST-18413667-KTM1,1
278,ST-71923460-JRC16,16
279,ST-72116204-ERH16,16
280,ST-65955122-SLP17,17
281,ST-29540428-LJS11,11
282,ST-61316496-SCW17,17
283,ST-74139456-PGP22,22
284,ST-36983798-CSB4,4
285,ST-64738624-MJG3,3
286,ST-24701649-DNO13,13
287,ST-32225280-LCF23,23
288,ST-74077527-JEW16,16
289,ST-44596326-SCG8,8
290,ST-79498545-EAR9,9
291,ST-88305250-JTM18,18
292,ST-11529340-BJS2,2
293,ST-96361917-CJS13,13
294,ST-79773884-WMA23,23
295,ST-66258394-BNK5,5
296,ST-16714729-BAY23,23
297,ST-48362196-SEC17,17
298,ST-10609668-RMJ8,8
299,ST-21239027-LLW20,20
300,ST-81696919-TMS16,16
301,ST-64335099-RCW13,13
302,ST-83437102-ARM7,7
303,ST-38344545-TCW23,23
304,ST-18629181-KMD14,14
305,ST-68092048-TVJ10,10
306,ST-40546309-SKM9,9
307,ST-26126961-JTA14,14
308,ST-25406661-CSW8,8
309,ST-56782611-PEJ6,6
310,ST-73929622-MKF21,21
311,ST-60612164-APV5,5
312,ST-63352431-ENT11,11
313,ST-86488939-ANH18,18
314,ST-25104056-NJM7,7
315,ST-40777133-AMH20,20
316,ST-32858632-AMW16,16
317,ST-29918325-SJM6,6
318,ST-70410894-DMC14,14
319,ST-37776998-JRE21,21
320,ST-72260230-DRB2,2
321,ST-86064316-RRS16,16
322,ST-87686486-PRF17,17
323,ST-19521071-RMB6,6
324,ST-24150733-PKS20,20
325,ST-57123745-KMR23,23
326,ST-45171990-SEJ21,21
327,ST-21418299-LAT4,4
328,ST-47336955-BJP20,20
329,ST-82700086-KJD9,9
330,ST-20763074-HCM8,8
331,ST-12739998-LED6,6
332,ST-11764176-LCB20,20
333,ST-20945637-SDS17,17
334,ST-28759691-GGY24,24
335,ST-37847502-PLH5,5
336,ST-63639491-JJF24,24
337,ST-17730650-CDW23,23
338,ST-68251701-NNG17,17
339,ST-44630132-DDS21,21
340,ST-37614804-MAB5,5
341,ST-38073371-EJM19,19
342,ST-41765625-VHD14,14
343,ST-59372234-WMW20,20
344,ST-19881922-SSM2,2
345,ST-95359543-MBM19,19
346,ST-31432614-BDH12,12
347,ST-11709369-DCM18,18
348,ST-34038864-BLE19,19
349,ST-28367639-HWH24,24
350,ST-40542609-LAE16,16
351,ST-35036779-HKW1,1
352,ST-58913679-KSC10,10
353,ST-97630462-DRA15,15
354,ST-57426652-YSR3,3
355,ST-63819940-BPS5,5
356,ST-97352428-MEH15,15
357,ST-46243340-SSP16,16
358,ST-13471055-CEE21,21
359,ST-25714404-VSJ24,24
360,ST-97121431-JJW12,12
361,ST-28671327-MJW7,7
362,ST-59229354-AEW8,8
363,ST-45968373-ATA12,12
364,ST-36105236-TJF22,22
365,ST-81881011-DSC20,20
366,ST-79418228-CTS8,8
367,ST-68451371-TSB2,2
368,ST-71837810-LSA24,24
369,ST-48837920-AMB8,8
370,ST-97412942-DTE22,22
371,ST-53531588-KJB17,17
372,ST-32213089-JAR1,1
373,ST-72172739-WDB24,24
374,ST-33106894-JCM22,22
375,ST-12611348-GEA15,15
376,ST-56402095-KDW4,4
377,ST-95895555-CDH23,23
378,ST-48787992-DRW21,21
379,ST-36024404-CDE11,11
380,ST-77044904-TCM24,24
381,ST-96827048-LSZ8,8
382,ST-43905664-BBK4,4
383,ST-30610454-AJB12,12
384,ST-29351986-JNB22,22
385,ST-61982160-SKW10,10
386,ST-46069312-GSW23,23
387,ST-93455346-JKM1,1
388,ST-53468446-PCH13,13
389,ST-23568487-BCC8,8
390,ST-11831112-HSR11,11
391,ST-57093244-CJM2,2
392,ST-39914977-CKD18,18
393,ST-40463403-PSM3,3
394,ST-67820718-DWG6,6
395,ST-11069810-BTF23,23
396,ST-49164774-JPT14,14
397,ST-13424673-RWT2,2
398,ST-39505638-AMJ17,17
399,ST-94103511-MRR1,1
400,ST-55360542-MMD13,13
401,ST-31553811-SMC12,12
402,ST-42687160-JJP12,12
403,ST-28022521-AMC23,23
404,ST-94719118-EAW15,15
405,ST-67354253-BJE24,24
406,ST-15370102-HDJ24,24
407,ST-70035873-TJP6,6
408,ST-62109358-JTM11,11
409,ST-79471477-JKA6,6
410,ST-34185153-DRV22,22
411,ST-98820302-RMS6,6
412,ST-40620788-MMR8,8
413,ST-10396991-CVH16,16
414,ST-95135724-KFA1,1
415,ST-16944249-JJW1,1
416,ST-89002088-JTB13,13
417,ST-40943760-KVB21,21
418,ST-82444576-AAS12,12
419,ST-30776153-JGR4,4
420,ST-34074915-MEB18,18
421,ST-40391018-DJA4,4
422,ST-82641225-TRL11,11
423,ST-78316679-CLR7,7
424,ST-14733799-TRB8,8
425,ST-15210954-MJB13,13
426,ST-46163836-KDJ3,3
427,ST-27553382-SHG8,8
428,ST-24898567-JMW17,17
429,ST-95293572-GAH17,17
430,ST-11490421-AAD16,16
431,ST-19739660-JDK24,24
432,ST-81879892-SNC4,4
433,ST-17288212-PRN8,8
434,ST-92300053-HPM23,23
435,ST-85713188-ENF19,19
436,ST-20168516-JMJ11,11
437,ST-58124144-BCA9,9
438,ST-21309133-CTW16,16
439,ST-49805492-KDR15,15
440,ST-89373974-WCA11,11
441,ST-66963135-RJJ5,5
442,ST-94102164-ALJ21,21
443,ST-63913203-CAO18,18
444,ST-17770612-KAA17,17
445,ST-88255749-VKR3,3
446,ST-22024585-GTW24,24
447,ST-44410435-RMC16,16
448,ST-83894658-WDD22,22
449,ST-42609461-AJH24,24
450,ST-67422870-DTP18,18
451,ST-22276871-CKB21,21
452,ST-39692439-RDR4,4
453,ST-92251177-ARH6,6
454,ST-56060486-MMR1,1
455,ST-39689709-MDA16,16
456,ST-38813329-TJO5,5
457,ST-69909216-BAJ4,4
458,ST-58664399-TMF17,17
459,ST-81719460-MAH12,12
460,ST-86610945-LSB17,17
461,ST-77993766-MWW17,17
462,ST-19371071-JCB10,10
463,ST-58424991-KTM23,23
464,ST-73494370-ICS8,8
465,ST-96316973-VNR9,9
466,ST-68076248-LJB14,14
467,ST-25564730-RKR15,15
468,ST-47119877-SMJ16,16
469,ST-39342600-AAM13,13
470,ST-91471697-MMR15,15
471,ST-32042067-CMM11,11
472,ST-21608783-SAA17,17
473,ST-21968056-SEB4,4
474,ST-68995445-SMA4,4
475,ST-22297331-GJR22,22
476,ST-52858882-BTG23,23
477,ST-34170385-MPC8,8
478,ST-66247595-PDS21,21
479,ST-32903929-CSD7,7
480,ST-12395664-EMJ4,4
481,ST-26987181-RBH4,4
482,ST-95171630-DJM14,14
483,ST-47585039-JDT24,24
484,ST-87169291-DAJ14,14
485,ST-61711012-AMJ5,5
486,ST-19454645-SSM11,11
487,ST-13225783-RCG3,3
488,ST-63614779-EBF21,21
489,ST-34559524-LRE3,3
490,ST-11907687-BMN11,11
491,ST-75776270-CSR15,15
492,ST-66566260-JTB6,6
493,ST-23716515-ESK8,8
494,ST-71746273-KJT4,4
495,ST-11137033-DTH20,20
496,ST-43620023-JNN19,19
497,ST-58902095-RSW2,2
498,ST-10030581-EMM19,19
499,ST-17574864-MKS22,22
500,ST-49462515-RKA13,13
501,ST-57924986-DPC1,1
502,ST-80884032-BSH5,5
503,ST-66748148-CMP1,1
504,ST-29198654-TJJ18,18
505,ST-30902655-JCH16,16
506,ST-42448889-RGS22,22
507,ST-20650939-MMM3,3
508,ST-30745846-JMP1,1
509,ST-55277288-RWE15,15
510,ST-57808398-CRB7,7
511,ST-53494571-SAH17,17
512,ST-15335206-NAE13,13
513,ST-14400704-MNH10,10
514,ST-41163437-MJH9,9
515,ST-75077586-SAR4,4
516,ST-99766637-JTM7,7
517,ST-81821030-TRM22,22
518,ST-69900602-JCP3,3
519,ST-40881240-DEP15,15
520,ST-11696825-MRL21,21
521,ST-71252634-ATB1,1
522,ST-15644124-NJK22,22
523,ST-28607206-SSB10,10
524,ST-63567513-RSS13,13
525,ST-94437498-JHK2,2
526,ST-90685109-VMN19,19
527,ST-32785474-AYG16,16
528,ST-22279977-NJP18,18
529,ST-17190516-JWH1,1
530,ST-43298778-CCB9,9
531,ST-46409072-GCH24,24
532,ST-27917678-MMB8,8
533,ST-28282781-IAJ8,8
534,ST-70221133-CPB15,15
535,ST-11140708-ADR5,5
536,ST-58060832-DSB13,13
537,ST-61529507-AJB20,20
538,ST-18324255-RRY9,9
539,ST-31968984-ACT17,17
540,ST-56941860-LWJ12,12
541,ST-42784613-CMA19,19
542,ST-40326597-EEW2,2
543,ST-73095742-JKL23,23
544,ST-68630732-TBJ6,6
545,ST-51256056-JMS8,8
546,ST-25526916-LNH21,21
547,ST-97477445-TJH14,14
548,ST-91796235-AZH22,22
549,ST-66528880-BSJ21,21
550,ST-75918357-SMN18,18
551,ST-92612297-JKN9,9
552,ST-27025928-JAC24,24
553,ST-93710721-SSC17,17
554,ST-14102501-JBC22,22
555,ST-29512873-ELD5,5
556,ST-58574022-MMH4,4
557,ST-12325748-WSV6,6
558,ST-57004229-KMM5,5
559,ST-37656215-MCP9,9
560,ST-33935458-GAC20,20
561,ST-33491376-KLY1,1
562,ST-51032901-DAB20,20
563,ST-46850472-MJB21,21
564,ST-67006002-BBP10,10
565,ST-66440960-WKO18,18
566,ST-91983150-RMD20,20
567,ST-15359025-DAC5,5
568,ST-96527466-DDW23,23
569,ST-87030546-SAT19,19
570,ST-38774461-NNJ7,7
571,ST-50447940-EJB3,3
572,ST-66281054-MSK18,18
573,ST-69181147-MMP3,3
574,ST-28903391-SAW22,22
575,ST-11978224-CCP19,19
576,ST-42487234-KJP21,21
577,ST-69970478-CAG20,20
578,ST-10993778-ASH21,21
579,ST-17127205-MJH24,24
580,ST-32090378-DPS17,17
581,ST-86620807-AMR8,8
582,ST-57022312-CKP7,7
583,ST-57416501-KMG15,15
584,ST-42989651-RPG12,12
585,ST-66473290-BTJ22,22
586,ST-53661736-WCK15,15
587,ST-43949390-KMW3,3
588,ST-75625907-BKC14,14
589,ST-23439232-TJS6,6
590,ST-63540972-JVT23,23
591,ST-17220178-AMS7,7
592,ST-15593027-ABS11,11
593,ST-21358052-PTW3,3
594,ST-32751462-RRB5,5
595,ST-51690136-DJR10,10
596,ST-88562911-GJP13,13
597,ST-57351518-KSH20,20
598,ST-35419197-TRW2,2
599,ST-77213609-LTC8,8
600,ST-27628195-MPK20,20
601,ST-17157532-CCH4,4
602,ST-81402025-DWH24,24
603,ST-31688552-RRC24,24
604,ST-91488549-KCJ6,6
605,ST-79266743-SMH24,24
606,ST-72494594-AKB15,15
607,ST-66604289-JKC20,20
608,ST-33276159-BMF10,10
609,ST-12200493-ADM16,16
610,ST-20754322-ADO12,12
611,ST-68385717-SAP2,2
612,ST-25019304-JDR14,14
613,ST-35047492-NKL3,3
614,ST-76079564-AJH24,24
615,ST-73603285-BTV6,6
616,ST-54461300-DMG11,11
617,ST-41426178-MWJ9,9
618,ST-29823739-JDG17,17
619,ST-55529188-GGM16,16
620,ST-26925621-RPS4,4
621,ST-96849245-MRG12,12
622,ST-20947998-DLJ5,5
623,ST-14020819-MVB17,17
624,ST-20766063-LCB9,9
625,ST-65928237-SSA12,12
626,ST-95975097-MJL15,15
627,ST-52546073-EMH7,7
628,ST-42836274-JSG18,18
629,ST-95234955-MMS6,6
630,ST-54737838-NAE2,2
631,ST-76314553-KAH24,24
632,ST-36544429-WKC13,13
633,ST-93693215-TAN20,20
634,ST-39602282-DKD15,15
635,ST-83873533-ARP1,1
636,ST-57481503-BTR13,13
637,ST-43427167-JLN7,7
638,ST-59719850-DPR23,23
639,ST-78662970-TLH18,18
640,ST-50555313-VAR6,6
641,ST-95786149-JDB13,13
642,ST-57664052-MHR5,5
643,ST-18739926-KMS9,9
644,ST-17495639-KCD11,11
645,ST-32632953-ALR4,4
646,ST-79240674-SMM11,11
647,ST-91911423-SAL11,11
648,ST-28033200-MCH24,24
649,ST-10305681-PLT17,17
650,ST-75122450-JCB18,18
651,ST-31002191-MSW9,9
652,ST-21869280-JAD2,2
653,ST-32483396-PJW23,23
654,ST-88652506-JWH1,1
655,ST-53838845-MBS4,4
656,ST-67430931-ATW4,4
657,ST-48186181-BBM4,4
658,ST-89838560-BKJ10,10
659,ST-53895377-DSG3,3
660,ST-86997859-TDS1,1
661,ST-72929206-DKJ2,2
662,ST-56580145-RMJ19,19
663,ST-57323185-ALF19,19
664,ST-15914008-MJM2,2
665,ST-78842253-CAD3,3
666,ST-37839462-MSG11,11
667,ST-72686338-JCS20,20
668,ST-99982224-WVS11,11
669,ST-84914412-KJP14,14
670,ST-63633081-PDL5,5
671,ST-45787525-EWC8,8
672,ST-18620054-SLH1,1
673,ST-70973695-JDD11,11
674,ST-59694343-TDJ17,17
675,ST-17304412-CML5,5
676,ST-41841065-CBS20,20
677,ST-20066272-MTB3,3
678,ST-28120098-LMS14,14
679,ST-87782380-JBM17,17
680,ST-57327855-CGO13,13
681,ST-39906500-DJI3,3
682,ST-41265940-GRT9,9
683,ST-23280430-TKA17,17
684,ST-87879572-LMC3,3
685,ST-38723568-JAC14,14
686,ST-51810957-HTJ4,4
687,ST-38336081-KMM6,6
688,ST-44695918-TTW3,3
689,ST-40599462-GBE8,8
690,ST-81167311-RJM13,13
691,ST-88051022-GKM5,5
692,ST-98166355-AMH19,19
693,ST-76562343-WGG10,10
694,ST-42495784-MSW4,4
695,ST-44044359-LAW6,6
696,ST-22060142-RDC4,4
697,ST-48644177-KSM23,23
698,ST-99445242-SJC22,22
699,ST-50792746-MBL2,2
700,ST-49957764-TPK4,4
701,ST-14075584-NSM7,7
702,ST-90294344-LJN6,6
703,ST-13801051-MAW23,23
704,ST-66908014-ZTH23,23
705,ST-58996267-TKM6,6
706,ST-22741951-KKA8,8
707,ST-41519689-JBL9,9
708,ST-74769265-MJH3,3
709,ST-63790787-SLS22,22
710,ST-71148838-MDR18,18
711,ST-29556010-KDJ19,19
712,ST-28974381-JAE14,14
713,ST-14571255-CND8,8
714,ST-66254112-DBP9,9
715,ST-53577311-JAM19,19
716,ST-32587595-KAT1,1
717,ST-20079969-HMF2,2
718,ST-26532593-AJG1,1
719,ST-18043494-CEG6,6
720,ST-13387781-KGA13,13
721,ST-50696604-CJB9,9
722,ST-90158293-LCP14,14
723,ST-72901029-DJH3,3
724,ST-62438805-JSS24,24
725,ST-76004384-DLW1,1
726,ST-14500618-MMR15,15
727,ST-66163138-SKG7,7
728,ST-14981884-SJW12,12
729,ST-97602854-KSS3,3
730,ST-70439775-VSD21,21
731,ST-60409541-CMS24,24
732,ST-38706415-ASB22,22
733,ST-55468088-BRS5,5
734,ST-82373972-AOS6,6
735,ST-68267332-SKA18,18
736,ST-64578540-ANS13,13
737,ST-21612387-JJM5,5
738,ST-34934734-TBA22,22
739,ST-13094269-NTJ20,20
740,ST-70765293-RBW6,6
741,ST-60846517-JJF1,1
742,ST-99586401-JJB7,7
743,ST-45768637-SVY3,3
744,ST-92658315-TSH7,7
745,ST-26029118-MSL16,16
746,ST-22357179-LMS14,14
747,ST-71542904-JCB4,4
748,ST-10307319-NMC5,5
749,ST-78369881-SCT7,7
750,ST-52178517-MJR21,21
751,ST-71220891-SCP14,14
752,ST-34548698-LKB13,13
753,ST-90544386-JGD24,24
754,ST-86259774-KRJ15,15
755,ST-21015511-JJR9,9
756,ST-91701384-JJD24,24
757,ST-81579836-DKH18,18
758,ST-45349680-HMD14,14
759,ST-77384711-SJD12,12
760,ST-42146105-ARB10,10
761,ST-89364458-HAR14,14
762,ST-78674471-LEP21,21
763,ST-43046629-CSD6,6
764,ST-79519753-LMM8,8
765,ST-84137653-RGD21,21
766,ST-58312171-RLV10,10
767,ST-57430407-PNM21,21
768,ST-11748976-MKS20,20
769,ST-19439949-PNM22,22
770,ST-97298210-EAO17,17
771,ST-48964060-CJG3,3
772,ST-50073297-DTS7,7
773,ST-88600302-SJR23,23
774,ST-63468154-JKC5,5
775,ST-31455509-DDJ5,5
776,ST-44202459-DJC22,22
777,ST-88030304-TSM8,8
778,ST-98154757-PCB16,16
779,ST-76138929-CCS9,9
780,ST-15982442-LKA5,5
781,ST-52844464-JSM10,10
782,ST-40393441-KJA4,4
783,ST-51584619-PBJ8,8
784,ST-30854632-DDB22,22
785,ST-74172515-DKG19,19
786,ST-26122105-KJG21,21
787,ST-71687457-ADA7,7
788,ST-30427413-DJC21,21
789,ST-42892417-APS17,17
790,ST-84647933-DEG2,2
791,ST-20813894-KAK16,16
792,ST-63450169-JRW23,23
793,ST-13933182-HPJ18,18
794,ST-75281741-NJW20,20
795,ST-75488853-DMM19,19
796,ST-66501371-RSR2,2
797,ST-66546197-CSB19,19
798,ST-40398319-MAW14,14
799,ST-48713436-KJA17,17
800,ST-88879632-WMH5,5
801,ST-13127949-MMT19,19
802,ST-44646225-BCT8,8
803,ST-30212037-TSR8,8
804,ST-88348740-RJS12,12
805,ST-62174331-ATC22,22
806,ST-69733749-TEL15,15
807,ST-38768489-MRS23,23
808,ST-53625886-MMM7,7
809,ST-59262878-DCF17,17
810,ST-60816072-MDB15,15
811,ST-87504092-MDH18,18
812,ST-51513776-DAB5,5
813,ST-55909693-JCV17,17
814,ST-36945636-DRK22,22
815,ST-21960117-PMF10,10
816,ST-29263689-RVM4,4
817,ST-48464835-ADK16,16
818,ST-10789783-CLL3,3
819,ST-24632289-JCR4,4
820,ST-60609022-ZSW1,1
821,ST-43018947-KKY9,9
822,ST-67895374-AMW17,17
823,ST-14250173-JAW3,3
824,ST-59212406-JJH15,15
825,ST-65199867-CMB4,4
826,ST-41244217-DTT21,21
827,ST-34944579-RJF5,5
828,ST-81347437-LAF6,6
829,ST-68741891-VJM6,6
830,ST-10144233-DGW5,5
831,ST-54155273-CJH10,10
832,ST-32451727-DKJ14,14
833,ST-60627098-DAW17,17
834,ST-19982559-EJM23,23
835,ST-54236056-LDK11,11
836,ST-71316713-SDN13,13
837,ST-75174718-AJB7,7
838,ST-24668663-CAG10,10
839,ST-28406569-LSH1,1
840,ST-18501766-TBM20,20
841,ST-93041015-JHW16,16
842,ST-61928013-KMM8,8
843,ST-35219876-AAC24,24
844,ST-76632341-ASB13,13
845,ST-32898933-ATR6,6
846,ST-89379542-FRS1,1
847,ST-68359413-CKB5,5
848,ST-13371317-BVM9,9
849,ST-25519146-GRD24,24
850,ST-80506306-RHJ13,13
851,ST-11487721-JKP8,8
852,ST-74524876-CNW14,14
853,ST-27933473-RWB1,1
854,ST-36375405-HMT13,13
855,ST-94496435-KJH7,7
856,ST-68451865-BJH15,15
857,ST-94135216-MCR10,10
858,ST-77815186-KTW5,5
859,ST-52048935-VLR6,6
860,ST-98861697-MDH14,14
861,ST-26478749-DWT2,2
862,ST-42001608-TAG13,13
863,ST-24868460-JJJ20,20
864,ST-45646788-SKD8,8
865,ST-96154317-RKW6,6
866,ST-15389652-CGF3,3
867,ST-37406186-CTR23,23
868,ST-85454578-ASM23,23
869,ST-27255462-GDS11,11
870,ST-88750350-RBM12,12
